"authentischen Berichten zufolge","<div>au­then­tisch</div><div>echt; den Tatsachen entsprechend und daher glaubwürdig</div>"
"er brauchte sich nicht darum zu kümmern, das besorgte alles seine Referentin","<div>be­sor­gen</div><div>erledigen; (einen Auftrag) ausführen; dafür <a href=""http://www.duden.de/rechtschreibung/sorgen#b2-Bedeutung-2"">sorgen (2)</a>, dass etwas erledigt wird</div>"
"die Kinder, die Blumen besorgen","<div>be­sor­gen</div><div>sich um jemanden, etwas kümmern</div>"
"es ist/steht zu besorgen, dass …","<div>be­sor­gen</div><div>befürchten</div>"
"ich besorgte mich, wie ich ihr mein Beileid aussprechen sollte","<div>be­sor­gen</div><div>sich <a href=""http://www.duden.de/rechtschreibung/sorgen#b2-Bedeutung-1"">sorgen (1)</a></div>"
"sie hat ein Fahrrad mit allem Zubehör geschenkt bekommen","<div>Zu­be­hör, das oder der</div><div>Gesamtheit der ein Gerät, eine Maschine o. Ä. ergänzenden beweglichen Teile, mit deren Hilfe bestimmte Verrichtungen erleichtert oder zusätzlich ermöglicht werden</div>"
"ein Haus mit allem Zubehör","<div>Zu­be­hör, das oder der</div><div>Gesamtheit von Teilen, Gegenständen, die zur Ausstattung, Einrichtung o. Ä. von etwas gehören, sie vervollständigen</div>"
"gesättigte und ungesättigte Fettsäuren","<div>Fett­säu­re, die</div><div>organische Säure, die in der Natur in Form von tierischem und pflanzlichem Fett und Öl vorkommt</div>"
"sich in die Polster zurückfallen lassen, zurücklehnen","<div>Pols­ter, das oder der</div><div>mit festem Stoff- oder Lederbezug versehene, elastische Auflage [mit Sprungfedern] auf Sitz- und Liegemöbeln o. Ä.</div>"
"ein finanzielles Polster besitzen","<div>Pols­ter, das oder der</div><div>etwas, was sich jemand z. B. in Form von Rücklagen oft selbst geschaffen hat und was ihm eine gewisse Sicherheit gibt</div>"
"Wohltaten empfangen, genießen, austeilen","<div>Wohl­tat, die</div><div>Handlung, durch die jemandem von anderen selbstlose Hilfe, Unterstützung o. Ä. zuteilwird</div>"
"auf die Wohltaten anderer angewiesen sein","<div>Wohl­tat, die</div><div>Handlung, durch die jemandem von anderen selbstlose Hilfe, Unterstützung o. Ä. zuteilwird</div>"
"die Ruhe als große Wohltat empfinden","<div>Wohl­tat, die</div><div>etwas, was jemandem, einer Sache wohltut, was jemandem Erleichterung, Linderung o. Ä. verschafft</div>"
"sie las und sah zwischendurch nach dem Baby","<div>zwi­schen­durch</div><div>in Abständen, von Zeit zu Zeit (während eines gleichzeitigen anderen Vorgangs o. Ä.)</div>"
"du darfst nicht so viel zwischendurch essen","<div>zwi­schen­durch</div><div>innerhalb von, zwischen zwei zeitlichen Markierungen o. Ä.</div>"
"das Gerät zeichnet sich durch seine einfache Handhabung aus","<div>Hand­ha­bung, die</div><div>das Handhaben</div>"
"bist du pro oder kontra?","<div>pro</div><div>drückt aus, dass jemand etwas bejaht, einer Sache zustimmt</div>"
"&lt;substantiviert&gt;: das Pro und [das] Kontra einer Sache <em>(das, was für und gegen eine Sache spricht) </em>bedenken","<div>pro</div><div>drückt aus, dass jemand etwas bejaht, einer Sache zustimmt</div>"
"die Kapuze hochziehen","<div>Ka­pu­ze, die</div><div>an einem Mantel, Anorak, einer Jacke o. Ä. angenähte oder angeknöpfte Kopfbedeckung, die sich (als Regen- und Kälteschutz) ganz über den Kopf ziehen lässt</div>"
"sie ist Fachärztin für Chirurgie","<div>Chi­r­ur­gie, die</div><div>[Lehre von der] Behandlung von Störungen und Veränderungen im Bereich des Organismus durch mechanische oder instrumentelle, operative Eingriffe</div>"
"der Patient wurde in die Chirurgie eingeliefert","<div>Chi­r­ur­gie, die</div><div>chirurgische Abteilung eines Krankenhauses</div>"
"Briefmarken gummieren","<div>gum­mie­ren</div><div>eine Klebstoffschicht auf etwas auftragen</div>"
"Stoffe gummieren","<div>gum­mie­ren</div><div>Latex oder Kunststoff auf ein Gewebe auftragen, um es wasserdicht zu machen</div>"
"die Blende schließen","<div>Blen­de, die</div><div>Einrichtung an der Kamera, mit der man das Objektiv verkleinern bzw. vergrößern und damit die Belichtung regulieren kann</div>"
"Socken stricken, waschen","<div>So­cke, die</div><div>kurzer, bis an die Wade oder in die Mitte der Wade reichender Strumpf</div>"
"jemandem die Socken ausziehen","umgangssprachlich: jemandem unerträglich sein: die Musik zieht mir die Socken aus"
"sich auf die Socken machen","umgangssprachlich: aufbrechen [um irgendwohin zu gehen]"
"ein nicht taugliches Werkzeug","<div>taug­lich</div><div>(zu etwas) taugend; geeignet</div>"
"sie verzog das Gesicht vor Schmerz, zu einer Grimasse","<div>ver­zie­hen</div><div>aus seiner normalen, üblichen Form bringen; <a href=""http://www.duden.de/rechtschreibung/verzerren#b2-Bedeutung-1a"">verzerren (1a)</a></div>"
"ein unschlagbarer Gegner","<div>un­schlag­bar</div><div>nicht schlagbar</div>"
"als Schauspieler ist er unschlagbar","<div>un­schlag­bar</div><div>unübertrefflich, einmalig [gut]</div>"
"eine Batterie aufladen","<div>auf­la­den</div><div>elektrisch laden</div>"
"&lt;in übertragener Bedeutung&gt;: eine emotional aufgeladene Diskussion","<div>auf­la­den</div><div>elektrisch laden</div>"
"manche Textilien laden sich elektrostatisch auf","<div>auf­la­den</div><div>sich elektrisch laden</div>"
"Kartoffelsäcke, Rüben [auf den Lastwagen] aufladen","<div>auf­la­den</div><div>(Ladegut) auf ein Transportmittel laden</div>"
"lädst du dir auch noch den schweren Seesack auf?","<div>auf­la­den</div><div>eine Last auf den Rücken o. Ä. packen</div>"
"&lt;in übertragener Bedeutung&gt;: er lädt sich zu viel Arbeit auf","<div>auf­la­den</div><div>eine Last auf den Rücken o. Ä. packen</div>"
"&lt;in übertragener Bedeutung&gt;: er lud seiner Frau die Verantwortung, die Sorge für die Kinder auf","<div>auf­la­den</div><div>eine Last auf den Rücken o. Ä. packen</div>"
"ich fühle mich total erschlagen","<div>er­schla­gen</div><div>erschöpft, am Ende der Kräfte</div>"
"jemanden, etwas über Funk anfordern","<div>Funk, der</div><div>drahtlose Übertragung von Sendungen durch elektromagnetische Wellen mittels besonderer Sende- und Empfangsgeräte</div>"
"ein Taxi mit Funk","<div>Funk, der</div><div>Funkgerät</div>"
"Funk und Fernsehen","<div>Funk, der</div><div>Kurzform für: <a href=""http://www.duden.de/rechtschreibung/Rundfunk#b2-Bedeutung-1"">Rundfunk (1, 2)</a></div>"
"ein Loch in der Hose stopfen","<div>stop­fen</div><div>ein Loch in einem Gewebe o. Ä. mit Nadel und Faden ausbessern, indem es mit gitterartig verspannten Längs- und Querfäden dicht ausgefüllt wird</div>"
"die Socken waren schon an mehreren Stellen gestopft","<div>stop­fen</div><div>ein Loch in einem Gewebe o. Ä. mit Nadel und Faden ausbessern, indem es mit gitterartig verspannten Längs- und Querfäden dicht ausgefüllt wird</div>"
"gestopfte Strümpfe","<div>stop­fen</div><div>ein Loch in einem Gewebe o. Ä. mit Nadel und Faden ausbessern, indem es mit gitterartig verspannten Längs- und Querfäden dicht ausgefüllt wird</div>"
"vom vorgeschriebenen Kurs, von der Straße abweichen","<div>ab­wei­chen</div><div>eine eingeschlagene Richtung verlassen, sich von ihr entfernen</div>"
"&lt;in übertragener Bedeutung&gt;: sie ist niemals von ihren Grundsätzen abgewichen <em>(ihnen nicht untreu geworden)</em>","<div>ab­wei­chen</div><div>eine eingeschlagene Richtung verlassen, sich von ihr entfernen</div>"
"die Fassung weicht im Wortlaut von der anderen ab","<div>ab­wei­chen</div><div>verschieden sein, sich unterscheiden</div>"
"den Riegel an der Tür vorlegen, vor-, zu-, auf-, zurückschieben","<div>Rie­gel, der</div><div>Vorrichtung mit quer zu verschiebendem [länglichem] Metallstück o. Ä. zum Verschluss von Türen, Toren, Fenstern</div>"
"einen Riegel Blockschokolade, Seife kaufen","<div>Rie­gel, der</div><div>[gleichmäßig unterteiltes] stangenartiges Stück, Streifen</div>"
"wer an dem Unfall beteiligt war, [das] können wir leicht feststellen","<div>fest­stel­len</div><div>in Erfahrung bringen, ermitteln</div>"
"eine Veränderung feststellen","<div>fest­stel­len</div><div>bemerken, erkennen, wahrnehmen</div>"
"ich muss hier mit aller Deutlichkeit feststellen, dass überhaupt nichts getan worden ist","<div>fest­stel­len</div><div>mit Entschiedenheit sagen, nachdrücklich aussprechen</div>"
"100 km pro Stunde","<div>pro</div><div>jeweils, je, für (jede einzelne Person oder Sache)</div>"
"er rasiert sich einmal pro Tag","<div>pro</div><div>jeweils, je, für (jede einzelne Person oder Sache)</div>"
"Vegetarier sein","<div>Ve­ge­ta­ri­er, der</div><div>jemand, der sich [vorwiegend] von pflanzlicher Kost ernährt</div>"
